# Louisiana coastal WMA/Refuge aerial waterfowl surveys, LDWF.
# Source: wlf.louisiana.gov/resources/category/waterfowl/aerial-surveys ->
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Coastal_WMAs_and_Refuges_<Month>_<Year>.pdf   (Oct/Nov/Dec/Jan, 2004-2019)
# 160 dated per-area duck totals across 13 seasons and 9 areas.
#
# THIS DOES NOT REPRODUCE THE TWO LOUISIANA ANCHORS AND IS NOT USED FOR THEM.
# 'Louisiana coast' and 'SE Louisiana' carry abundances of 2,500,000 and 315,000 --
# they are LDWF's COASTAL TRANSECT ZONE estimates (27 transect lines), not sums of
# individual WMAs, which are a small subset of the zone. Rebuilding from these WMA
# totals gave wobble 2 against the shipped 1, with uneven bin support (Jan-1 n=3 but
# Jan-2 n=10), so no curve was changed. Committed because it is real dated fall data
# for coastal Louisiana and the transect reports were not locatable on the LDWF site.
wma,year,month,day,total_ducks
Marsh Island WMA,2010,12,15,37317
Marsh Island WMA,2011,1,20,57047
Marsh Island WMA,2011,11,7,17968
Marsh Island WMA,2011,11,7,17968
Marsh Island WMA,2011,12,13,29804
Marsh Island WMA,2012,1,19,46091
Marsh Island WMA,2012,12,7,74795
Marsh Island WMA,2013,1,24,84482
Marsh Island WMA,2013,11,13,88306
Marsh Island WMA,2013,12,11,23945
Marsh Island WMA,2014,1,23,36435
Marsh Island WMA,2014,11,14,43540
Pass-A-Loutre WMA,2014,11,12,4438
Pass-A-Loutre WMA,2015,12,14,200
Pointe-Aux-Chenes WMA,2005,12,13,8308
Pointe-Aux-Chenes WMA,2006,10,31,751
Pointe-Aux-Chenes WMA,2006,12,7,7229
Pointe-Aux-Chenes WMA,2007,1,26,1657
Pointe-Aux-Chenes WMA,2007,11,5,7261
Pointe-Aux-Chenes WMA,2007,12,7,4390
Pointe-Aux-Chenes WMA,2008,1,14,944
Pointe-Aux-Chenes WMA,2008,10,30,993
Pointe-Aux-Chenes WMA,2008,12,9,2106
Pointe-Aux-Chenes WMA,2009,1,20,5225
Pointe-Aux-Chenes WMA,2009,11,17,844
Pointe-Aux-Chenes WMA,2009,12,16,3313
Pointe-Aux-Chenes WMA,2010,1,12,2456
Pointe-Aux-Chenes WMA,2010,11,10,5150
Pointe-Aux-Chenes WMA,2010,12,14,2266
Pointe-Aux-Chenes WMA,2011,1,18,2597
Pointe-Aux-Chenes WMA,2011,11,7,1921
Pointe-Aux-Chenes WMA,2011,11,7,1921
Pointe-Aux-Chenes WMA,2011,12,14,4442
Pointe-Aux-Chenes WMA,2012,1,18,3875
Pointe-Aux-Chenes WMA,2012,12,4,5442
Pointe-Aux-Chenes WMA,2013,1,23,7408
Pointe-Aux-Chenes WMA,2013,11,13,6974
Pointe-Aux-Chenes WMA,2013,12,11,6179
Pointe-Aux-Chenes WMA,2014,1,23,2972
Pointe-Aux-Chenes WMA,2014,11,12,2570
Pointe-Aux-Chenes WMA,2014,12,17,6930
Pointe-Aux-Chenes WMA,2015,1,20,5413
Pointe-Aux-Chenes WMA,2015,11,4,917
Pointe-Aux-Chenes WMA,2015,12,14,14563
Pointe-Aux-Chenes WMA,2016,1,11,5928
Pointe-Aux-Chenes WMA,2018,2,1,14578
Pointe-Aux-Chenes WMA,2018,12,3,1598
Rockefeller WMA,2005,12,12,36485
Rockefeller WMA,2006,10,30,11460
Rockefeller WMA,2006,12,8,113174
Rockefeller WMA,2007,1,25,38882
Rockefeller WMA,2007,11,7,178123
Rockefeller WMA,2007,12,8,115146
Rockefeller WMA,2008,11,6,69201
Rockefeller WMA,2008,12,8,47775
Rockefeller WMA,2009,1,21,66133
Rockefeller WMA,2009,11,16,19364
Rockefeller WMA,2009,12,17,25460
Rockefeller WMA,2010,11,11,66308
Rockefeller WMA,2010,12,15,154646
Rockefeller WMA,2011,1,20,74864
Rockefeller WMA,2011,11,9,44347
Rockefeller WMA,2011,11,9,44347
Rockefeller WMA,2011,12,15,30377
Rockefeller WMA,2012,1,19,51689
Rockefeller WMA,2012,12,6,21764
Rockefeller WMA,2013,1,25,16264
Rockefeller WMA,2013,11,14,49824
Rockefeller WMA,2013,12,12,18406
Rockefeller WMA,2014,1,27,26928
Rockefeller WMA,2014,11,19,165377
Rockefeller WMA,2015,1,21,328
Rockefeller WMA,2015,11,2,18796
Rockefeller WMA,2015,12,15,9
Rockefeller WMA,2016,1,12,35591
Rockefeller Wildlife WMA,2018,1,31,200
Rockefeller Wildlife WMA,2018,12,4,40
Salvador WMA,2005,12,13,5195
Salvador WMA,2006,10,31,224
Salvador WMA,2006,12,7,270
Salvador WMA,2007,1,26,4045
Salvador WMA,2007,11,5,880
Salvador WMA,2007,12,7,346
Salvador WMA,2008,1,14,869
Salvador WMA,2008,10,30,1607
Salvador WMA,2008,12,9,1874
Salvador WMA,2009,1,20,2022
Salvador WMA,2009,11,17,250
Salvador WMA,2009,12,16,12
Salvador WMA,2010,1,12,14
Salvador WMA,2010,11,10,282
Salvador WMA,2010,12,14,476
Salvador WMA,2011,1,18,357
Salvador WMA,2011,11,7,1384
Salvador WMA,2011,11,7,1384
Salvador WMA,2011,12,14,1724
Salvador WMA,2012,1,18,2720
Salvador WMA,2012,12,4,1241
Salvador WMA,2013,1,23,269
Salvador WMA,2013,11,13,33
Salvador WMA,2013,12,11,215
Salvador WMA,2014,1,23,50
Salvador WMA,2014,12,17,203
Salvador WMA,2015,1,20,310
Salvador WMA,2015,11,4,57
Salvador WMA,2016,1,11,16
Salvador WMA,2018,2,1,1525
Salvador WMA,2018,12,3,42
State Wildlife WMA,2005,12,12,367
State Wildlife WMA,2006,10,30,751
State Wildlife WMA,2006,12,8,3322
State Wildlife WMA,2007,1,25,2137
State Wildlife WMA,2008,1,15,20332
State Wildlife WMA,2008,11,6,1370
State Wildlife WMA,2008,12,8,2400
State Wildlife WMA,2009,1,21,1006
State Wildlife WMA,2009,11,16,928
State Wildlife WMA,2010,11,11,2026
State Wildlife WMA,2010,12,15,1642
State Wildlife WMA,2011,1,20,7750
State Wildlife WMA,2011,11,9,2590
State Wildlife WMA,2011,11,9,2590
State Wildlife WMA,2011,12,13,1502
State Wildlife WMA,2012,1,19,2979
State Wildlife WMA,2012,12,7,8040
State Wildlife WMA,2013,1,24,4225
State Wildlife WMA,2013,11,14,6778
State Wildlife WMA,2013,12,12,1466
State Wildlife WMA,2014,1,27,2189
State Wildlife WMA,2014,11,14,3897
White Lake WMA,2007,12,8,33500
White Lake WMA,2008,1,15,5300
White Lake WMA,2010,12,15,80348
White Lake WMA,2011,1,20,116696
