location,latitude,longitude,survey_date,total_waterfowl
Sloughs,37.77,-87.75,2023-01-02,8620
Sloughs,37.77,-87.75,2023-01-09,5500
Sloughs,37.77,-87.75,2023-01-16,8810
Sloughs,37.77,-87.75,2023-01-23,6000
Sloughs,37.77,-87.75,2023-11-27,7115
Sloughs,37.77,-87.75,2023-12-04,13560
Sloughs,37.77,-87.75,2023-12-11,14700
Sloughs,37.77,-87.75,2023-12-18,13000
Sloughs,37.77,-87.75,2024-01-03,4400
Sloughs,37.77,-87.75,2024-01-08,9400
Sloughs,37.77,-87.75,2024-01-15,4800
Sloughs,37.77,-87.75,2024-01-22,4600
Sloughs,37.77,-87.75,2024-02-02,1100
Sloughs,37.77,-87.75,2024-11-19,1125
Sloughs,37.77,-87.75,2024-11-25,3127
Sloughs,37.77,-87.75,2024-12-03,9995
Sloughs,37.77,-87.75,2024-12-09,9251
Sloughs,37.77,-87.75,2024-12-23,6246
Sloughs,37.77,-87.75,2024-12-30,5766
Sloughs,37.77,-87.75,2025-01-08,2025
Sloughs,37.77,-87.75,2025-01-13,10930
Sloughs,37.77,-87.75,2025-01-20,17403
Sloughs,37.77,-87.75,2025-01-27,5879
Sloughs,37.77,-87.75,2025-02-04,3764
